trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,polygon.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,key_reso.corr,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,up,0.005,db,0.05037557360895979,0.0014636000000791682,130.25812909999968,131.27804340000012,131.27804340000012,131.57799939999995,0,0,1,131.26103029999967,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,up,0.005,db,0.05040458046821476,0.001298799999858602,133.0411525999998,134.06112499999972,134.06112499999972,134.3610918999998,1,1,0,134.0444709999997,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,up,0.005,db,0.05040458046821476,0.0007454000001416716,135.5549264000001,136.57825719999983,136.57825719999983,136.87774549999995,0,0,1,136.56097169999975,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,up,0.005,db,0.050433604029967063,0.0015132999997149454,138.05921779999971,139.07785539999986,139.07785539999986,139.3778714,0,0,,139.06107819999988,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,up,0.005,db,0.050462644303834195,0.0014375999999174383,140.44276050000008,141.4613107,141.4613107,141.7611750000001,1,1,,141.44445159999987,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,up,0.005,db,0.050462644303834195,0.0012848000001213222,142.7751586999998,143.7948038999998,143.7948038999998,144.0948742999999,0,0,1,143.77795930000002,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,up,0.005,db,0.050491701299439196,0.0012481000003390363,145.59118949999993,146.61141229999976,146.61141229999976,146.91132519999974,1,1,,146.59473909999997,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,up,0.005,db,0.050491701299439196,0.0014847000002191635,148.04247369999985,149.0614999999998,149.0614999999998,149.3614192,0,0,1,149.0445983999998,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,up,0.005,db,0.05052077502641064,0.0015045000000100117,150.52654159999975,151.54469870000003,151.54469870000003,151.84503349999977,0,0,0,151.52788529999998,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,up,0.005,db,0.05054986549438265,0.0012710000000879518,152.89191260000007,153.91148410000005,153.91148410000005,154.21159850000004,1,1,0,153.89441069999975,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,up,0.005,db,0.05054986549438265,0.0012965999999323685,155.42499879999968,156.44536169999992,156.44536169999992,156.74495339999976,1,1,,156.42775149999989,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,up,0.005,db,0.05054986549438265,0.0015863999997236533,158.19227739999997,159.2119385000001,159.2119385000001,159.51160419999997,1,1,,159.19506159999992,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,46,down,0.005,db,0.05052077502641064,0.001320800000030431,160.65938779999988,161.67848219999996,161.67848219999996,161.97851050000008,0,0,1,161.6615922000001,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,47,up,0.005,db,0.05054986549438265,0.0014880999997330946,163.04364369999985,164.0620739000001,164.0620739000001,,0,0,0,164.04519429999982,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
